# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,energy,energy_per_spin,magnetisation,broken_bond_density,L_C,L_S,characteristic_k,cluster_number_density,acceptance_rate
0,-192,-0.1875,0,0.453125,0.6666235347481391,3.9974876665749006,1.5717835378747025,nan,nan
1,-456,-0.4453125,0,0.388671875,0.716030367522614,4.260644972616881,1.4747028554506534,nan,0.2021484375
2,-560,-0.546875,0,0.36328125,0.7500480327235725,4.445401837323673,1.4134122261852349,nan,0.14453125
3,-620,-0.60546875,0,0.3486328125,0.7779945339428402,4.583547083703115,1.370812864455907,nan,0.0888671875
4,-640,-0.625,0,0.34375,0.7922783993151078,4.6650096190846595,1.3468751021380392,nan,0.1025390625
5,-648,-0.6328125,0,0.341796875,0.7922783993151078,4.663342319975276,1.3473566545320437,nan,0.0859375
6,-692,-0.67578125,0,0.3310546875,0.8111421707273723,4.770632851170162,1.3170548862586269,nan,0.091796875
8,-716,-0.69921875,0,0.3251953125,0.831994154550698,4.877173701989137,1.2882840946626553,nan,0.07666015625
10,-752,-0.734375,0,0.31640625,0.8539465069135133,5.049458752740773,1.244328474565549,nan,0.06884765625
12,-812,-0.79296875,0,0.3017578125,0.8891366102203888,5.192144021716359,1.210133093554397,nan,0.06884765625
16,-860,-0.83984375,0,0.2900390625,0.9300164543684527,5.388354565052424,1.1660675316228855,nan,0.061767578125
20,-888,-0.8671875,0,0.283203125,0.9353922720237616,5.4321686477652165,1.156662415067779,nan,0.0517578125
25,-920,-0.8984375,0,0.275390625,0.9603730745407167,5.586719699234332,1.1246644982100509,nan,0.0546875
31,-976,-0.953125,0,0.26171875,0.9989065620994492,5.822743916578899,1.079076359392981,nan,0.041178385416666664
39,-992,-0.96875,0,0.2578125,1.014637488908556,5.929478337773989,1.0596522913579585,nan,0.0404052734375
49,-1052,-1.02734375,0,0.2431640625,1.0940780582728205,6.14326969832304,1.022775429979045,nan,0.0291015625
61,-1096,-1.0703125,0,0.232421875,1.156487120108572,6.313840930279448,0.9951446950535535,nan,0.02197265625
77,-1088,-1.0625,0,0.234375,1.1717705192035415,6.417512527167755,0.979068647015567,nan,0.0228271484375
97,-1144,-1.1171875,0,0.220703125,1.2669228354074036,6.775649875786071,0.9273184745914351,nan,0.023876953125
122,-1136,-1.109375,0,0.22265625,1.260342601524522,6.753298688645293,0.9303875923248982,nan,0.0208203125
153,-1136,-1.109375,0,0.22265625,1.2927498619665985,6.910983685343289,0.9091593314718529,nan,0.025989163306451613
193,-1192,-1.1640625,0,0.208984375,1.3658144590961843,7.157195889218049,0.8778836578505396,nan,0.0265869140625
242,-1232,-1.203125,0,0.19921875,1.456646033704477,7.584074083015087,0.8284709825357711,nan,0.022042410714285716
305,-1240,-1.2109375,0,0.197265625,1.5092025786397671,7.83064352004355,0.8023842856716638,nan,0.020941840277777776
383,-1292,-1.26171875,0,0.1845703125,1.5750123314834417,8.156001029121763,0.7703757374165215,nan,0.024927383814102564
481,-1300,-1.26953125,0,0.1826171875,1.6018511807212614,8.170360959728521,0.7690217529126595,nan,0.021902901785714284
605,-1336,-1.3046875,0,0.173828125,1.664469619350211,8.494174879073332,0.7397051975771244,nan,0.017956149193548387
760,-1292,-1.26171875,0,0.1845703125,1.6073917814207839,8.321494693798698,0.7550548955900807,nan,0.01915952620967742
956,-1316,-1.28515625,0,0.1787109375,1.6840441781295339,8.548094663302669,0.735039275378356,nan,0.019536232461734693
1202,-1384,-1.3515625,0,0.162109375,1.7867679621270307,8.977642446957592,0.6998702993912257,nan,0.01792746443089431
1510,-1320,-1.2890625,0,0.177734375,1.735646580809993,8.857094586734402,0.70939575564544,nan,0.019334669237012988
1899,-1392,-1.359375,0,0.16015625,1.8646554274141365,9.250079309455154,0.6792574525017425,nan,0.017301976221079693
2387,-1468,-1.43359375,0,0.1416015625,2.0130502676037545,9.94624607583844,0.6317142426671695,nan,0.01626136654713115
3000,-1476,-1.44140625,0,0.1396484375,2.208879014385528,10.999879085829503,0.5712049430864966,nan,0.015156632340946167
