# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,energy,energy_per_spin,magnetisation,broken_bond_density,L_C,L_S,characteristic_k,cluster_number_density,acceptance_rate
0,-204,-0.19921875,0,0.4501953125,0.6707683442906146,4.135768119175753,1.5192305579336511,nan,nan
1,-476,-0.46484375,0,0.3837890625,0.7347235553239989,4.453832654121837,1.410736728369163,nan,0.1826171875
2,-608,-0.59375,0,0.3515625,0.7913098438147226,4.72713624942637,1.3291737271042356,nan,0.11328125
3,-640,-0.625,0,0.34375,0.7961764480202251,4.75125668232033,1.322425986909872,nan,0.095703125
4,-660,-0.64453125,0,0.3388671875,0.8142030845791737,4.799624645310158,1.3090993091134857,nan,0.0908203125
5,-680,-0.6640625,0,0.333984375,0.8224796089459251,4.876028856938492,1.2885865714758309,nan,0.1103515625
6,-752,-0.734375,0,0.31640625,0.852821412701506,5.010121856855788,1.2540983007392832,nan,0.08984375
8,-792,-0.7734375,0,0.306640625,0.8794720818484281,5.15616812044206,1.2185765010782663,nan,0.0673828125
10,-804,-0.78515625,0,0.3037109375,0.8759018298246861,5.137925837142329,1.222903075353505,nan,0.0791015625
12,-840,-0.8203125,0,0.294921875,0.9027774787174938,5.270684128100645,1.1921005232851638,nan,0.06396484375
16,-908,-0.88671875,0,0.2783203125,0.9422000760414018,5.438940051419141,1.1552223866744336,nan,0.059814453125
20,-944,-0.921875,0,0.26953125,0.9807446246067318,5.660924244003414,1.1099221675392192,nan,0.04833984375
25,-964,-0.94140625,0,0.2646484375,0.994303306052908,5.795809714575895,1.084091027243008,nan,0.04296875
31,-972,-0.94921875,0,0.2626953125,0.9989065620994492,5.864337933667159,1.0714227894521264,nan,0.04345703125
39,-972,-0.94921875,0,0.2626953125,1.026853908209373,6.030937685422229,1.0418256057208286,nan,0.0400390625
49,-1012,-0.98828125,0,0.2529296875,1.0733085572186756,6.125862621265878,1.02568171956184,nan,0.03828125
61,-1056,-1.03125,0,0.2421875,1.1540183042282073,6.406683446351855,0.9807235459334904,nan,0.037109375
77,-1080,-1.0546875,0,0.236328125,1.2116565590895814,6.588216128950335,0.9537005441533158,nan,0.04046630859375
97,-1108,-1.08203125,0,0.2294921875,1.233782534773986,6.594083815710647,0.9528519022172066,nan,0.03447265625
122,-1152,-1.125,0,0.21875,1.2721439223508897,6.775348653135464,0.9273597018910433,nan,0.0248046875
153,-1204,-1.17578125,0,0.2060546875,1.3522927853963025,7.031897136875869,0.8935263393188769,nan,0.020696824596774195
193,-1196,-1.16796875,0,0.2080078125,1.331850758523784,6.981272690335915,0.9000057132673414,nan,0.0208251953125
242,-1228,-1.19921875,0,0.2001953125,1.3934786786453193,7.19620798943312,0.8731244728342744,nan,0.020308514030612245
305,-1228,-1.19921875,0,0.2001953125,1.4151184349726944,7.264955359957857,0.864862204358546,nan,0.022724454365079364
383,-1240,-1.2109375,0,0.197265625,1.4504859919428994,7.471345826289272,0.8409710182429343,nan,0.021559495192307692
481,-1264,-1.234375,0,0.19140625,1.5031321871893024,7.762723385307041,0.8094047662540877,nan,0.01775749362244898
605,-1312,-1.28125,0,0.1796875,1.5736104613346762,8.09966780564264,0.7757337038936831,nan,0.01973601310483871
760,-1340,-1.30859375,0,0.1728515625,1.6350349153672044,8.357437263735505,0.7518076545358601,nan,0.01665826612903226
956,-1332,-1.30078125,0,0.1748046875,1.7074343357891975,8.715612719988131,0.7209114848311138,nan,0.017543247767857144
1202,-1404,-1.37109375,0,0.1572265625,1.8093122455408794,8.969061011460512,0.700539922646422,nan,0.014056942327235773
1510,-1404,-1.37109375,0,0.1572265625,1.8235205712784182,9.147570112410664,0.6868693248554697,nan,0.016566685267857144
1899,-1376,-1.34375,0,0.1640625,1.858669427910169,9.310338577429008,0.6748610971476237,nan,0.017392352185089974
2387,-1424,-1.390625,0,0.15234375,1.961340982817484,9.72446475748047,0.6461214538667842,nan,0.017374007428278687
3000,-1452,-1.41796875,0,0.1455078125,2.06348115255803,10.185107061275794,0.6168992892640787,nan,0.016090181484502447
