# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,E_per_spin_mean,L_C_mean,L_C_sem,L_S_mean,L_S_sem,L_E_mean,L_E_sem,excess_energy
0,-0.2125,0.6751776636124662,0.0032493968887600823,4.229759050765811,0.059071384111682335,0.6346198436227575,0.0025735835547080065,1.5759765625000002
1,-0.473828125,0.7328717811110115,0.005638998934260028,4.563515984969978,0.07065695732275362,0.7613312078187545,0.0075075478925990665,1.3146484375
2,-0.564453125,0.7694093138645701,0.006360383701584261,4.751094219079779,0.06646492353713263,0.81757603782877,0.007387120204213827,1.2240234375
3,-0.618359375,0.7916449998850832,0.006841096990262586,4.874006082361578,0.07736125918553463,0.8553536244811223,0.008405238519947617,1.1701171875
4,-0.654296875,0.811213050116223,0.007892304309738444,4.984111556235087,0.08573156070905474,0.8829120799882542,0.011128773028163435,1.1341796875
5,-0.6859375,0.8283849602738605,0.0070558451647459094,5.073430120976626,0.07661707834527251,0.9082039896261325,0.011112011824841858,1.1025390625
6,-0.712109375,0.8430271385416,0.0062483350057443215,5.161999797809514,0.07436030343211712,0.9299720496462488,0.009733071637588298,1.0763671875
8,-0.75859375,0.8694293403686417,0.008293816503420683,5.313565950414093,0.08354637274498873,0.9723189584623094,0.012129740341100825,1.0298828125000001
10,-0.79453125,0.8899789808387613,0.008525100294222241,5.417223091270377,0.0832268865733304,1.0076519056882847,0.013334529355830653,0.9939453125000001
12,-0.81953125,0.9094095734747125,0.006551387081557692,5.53163440410176,0.0894514835576502,1.032754813633049,0.009021475483941544,0.9689453125
16,-0.868359375,0.9427619935192076,0.003972426752682114,5.680828041016502,0.06374064485460913,1.0874698700540162,0.008830374921927448,0.9201171875
20,-0.89609375,0.9622625370422038,0.004337430929808333,5.809745264841135,0.07248704183844969,1.1210093626297355,0.007189449933581917,0.8923828125000001
25,-0.921875,0.9811072194623746,0.004811871553123979,5.931993991397432,0.06109963562444812,1.1544380226574422,0.008002694604742991,0.8666015625000001
31,-0.9578125,1.0255694172999754,0.009770599349978964,6.099863895257455,0.08047452133908731,1.2047832572937502,0.011183612309575765,0.8306640625000001
39,-0.9875,1.0839255261145326,0.014631904259603461,6.278783143105505,0.09058065784514166,1.2499765614132354,0.014458875490261057,0.8009765625
49,-1.023828125,1.1265959486950134,0.011155419018122396,6.399538464109388,0.10218593386393274,1.3088218739063469,0.012190390522713652,0.7646484375
61,-1.055078125,1.1759634247128006,0.009113717771736493,6.563588661148126,0.09204762748265011,1.3641185764510975,0.009596002699512874,0.7333984375
77,-1.07421875,1.2118134379520948,0.017204388054330468,6.693597348013441,0.11398573200865729,1.4024826910985762,0.01926257001349488,0.7142578125000001
97,-1.08984375,1.2408818913025519,0.016023856141287977,6.816554559322155,0.10947529686128062,1.43336712900742,0.01752058592270122,0.6986328125000001
122,-1.1265625,1.290961075808622,0.016400285127186776,7.010100130762565,0.13094352858794317,1.5133661982669901,0.02108950059042534,0.6619140625000002
153,-1.155078125,1.3522857678154203,0.018444856574744813,7.231984621389174,0.14083220957435608,1.5815825039709832,0.0221164234562503,0.6333984375000001
193,-1.183203125,1.394441650183278,0.020472755058379165,7.43503422152325,0.14063360093114088,1.65505188512995,0.023441279566683203,0.6052734375000002
242,-1.19296875,1.4353355381214516,0.02271781294765371,7.621690704199148,0.14019947657447493,1.6838612320315047,0.02952361670883901,0.5955078125000002
305,-1.222265625,1.4923404063432666,0.02232134386134633,7.856831848720295,0.14831555273642263,1.770475650555768,0.029728710064027216,0.5662109375000002
383,-1.252734375,1.5613015641639745,0.02805147594386439,8.15492811846817,0.15811734063380659,1.8730509587964765,0.03682360832408815,0.5357421875000001
481,-1.276953125,1.6121333871585304,0.023668108501266362,8.355989782628587,0.12418858325691304,1.95982657640099,0.03258209417889741,0.5115234375000002
605,-1.298046875,1.6646510216361203,0.024433212086232215,8.641175321423642,0.11775957252507872,2.0495819260060224,0.05190686391875222,0.49042968750000004
760,-1.308203125,1.7064379101014637,0.026758333675410372,8.841255893990503,0.1419419700109472,2.093188727806542,0.050732512935191224,0.4802734375000002
956,-1.3328125,1.7803944071995992,0.0274743698624746,9.204266417117624,0.1595419777818644,2.205465163387156,0.05286195181007991,0.45566406250000013
1202,-1.383984375,1.8980491445194203,0.026199395566387493,9.695387728831268,0.16814007127009864,2.4766309391617822,0.03464460731561808,0.40449218750000004
1510,-1.38515625,1.9566176529564168,0.04315910846812111,10.025489809127574,0.215741745926639,2.5033798259223152,0.07948914398209225,0.4033203125
1899,-1.401171875,2.0276247731753037,0.03812654435821815,10.366628718911308,0.2303719564655017,2.6020461895941516,0.07551647419245824,0.38730468750000013
2387,-1.43828125,2.149026557247332,0.04318892648208458,10.857604588143122,0.23115743604026623,2.8797698608950824,0.08978297840823411,0.35019531250000013
3000,-1.453125,2.275333355223794,0.04498987804780999,11.430389834546999,0.23433291923117414,3.003431031422274,0.08915568952889857,0.3353515625000001
