# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,energy,energy_per_spin,magnetisation,broken_bond_density,L_C,L_S,characteristic_k,cluster_number_density,acceptance_rate
0,-208,-0.203125,0,0.44921875,0.6785025704826447,4.376889269646986,1.4355367294193282,nan,nan
1,-508,-0.49609375,0,0.3759765625,0.7372340002738531,4.732810342535156,1.327580201283528,nan,0.2080078125
2,-592,-0.578125,0,0.35546875,0.786502372102604,4.9638200100450325,1.2657963613637522,nan,0.125
3,-676,-0.66015625,0,0.3349609375,0.8266812927719579,5.174907974610741,1.2141636794328137,nan,0.12109375
4,-704,-0.6875,0,0.328125,0.8384604303632682,5.232656222603083,1.2007640173338003,nan,0.09765625
5,-752,-0.734375,0,0.31640625,0.852821412701506,5.294453569890218,1.18674858967738,nan,0.0751953125
6,-744,-0.7265625,0,0.318359375,0.864207546382434,5.301702018145751,1.1851260756780715,nan,0.046875
8,-776,-0.7578125,0,0.310546875,0.8759018298246861,5.4689338896250295,1.1488866813876195,nan,0.06884765625
10,-848,-0.828125,0,0.29296875,0.9091172082028695,5.6010412755833965,1.1217887885543458,nan,0.064453125
12,-868,-0.84765625,0,0.2880859375,0.9353922720237616,5.751919979847853,1.0923631290409201,nan,0.0576171875
16,-876,-0.85546875,0,0.2861328125,0.9273516507742737,5.713940254392772,1.0996239070489386,nan,0.061279296875
20,-916,-0.89453125,0,0.2763671875,0.9632313277387545,5.99445232151579,1.048166699838024,nan,0.054443359375
25,-956,-0.93359375,0,0.2666015625,0.9912579666775544,6.066328765450801,1.0357475748699667,nan,0.0509765625
31,-992,-0.96875,0,0.2578125,1.0291725345068856,6.227585619881663,1.0089279683478651,nan,0.0341796875
39,-972,-0.94921875,0,0.2626953125,1.0321607882513846,6.267227692487599,1.0025461999268217,nan,0.043701171875
49,-1068,-1.04296875,0,0.2392578125,1.1613843725082902,6.581533265730786,0.9546689279677943,nan,0.0390625
61,-1112,-1.0859375,0,0.228515625,1.2205393020857551,6.7177603586913595,0.9353095334891598,nan,0.035970052083333336
77,-1112,-1.0859375,0,0.228515625,1.215296524346638,6.736405588385178,0.9327207551179774,nan,0.0244140625
97,-1128,-1.1015625,0,0.224609375,1.266549516756484,6.96150074843429,0.9025618949466804,nan,0.027001953125
122,-1144,-1.1171875,0,0.220703125,1.2837295580964792,6.976057106156555,0.9006785941638163,nan,0.027578125
153,-1176,-1.1484375,0,0.212890625,1.320263171914944,7.145491882266557,0.8793215933493655,nan,0.02523311491935484
193,-1208,-1.1796875,0,0.205078125,1.4050642282647996,7.499263623898489,0.8378403030340831,nan,0.026904296875
242,-1192,-1.1640625,0,0.208984375,1.4058923745808194,7.625561207532418,0.8239636580417383,nan,0.0254703443877551
305,-1272,-1.2421875,0,0.189453125,1.5486430430060816,8.096382424005338,0.7760484841415446,nan,0.027235243055555556
383,-1308,-1.27734375,0,0.1806640625,1.7022157244920313,8.65544845750488,0.7259225605730023,nan,0.02466446314102564
481,-1352,-1.3203125,0,0.169921875,1.74383681425359,8.751660814448904,0.7179420501313432,nan,0.017777423469387755
605,-1416,-1.3828125,0,0.154296875,1.8250535903597493,9.06329072441514,0.6932565111536841,nan,0.018263293850806453
760,-1396,-1.36328125,0,0.1591796875,1.8209715074681436,9.137151598130608,0.6876525183696284,nan,0.013904989919354838
956,-1384,-1.3515625,0,0.162109375,1.7910461231089028,9.090889049567075,0.6911519074670484,nan,0.016362404336734693
1202,-1424,-1.390625,0,0.15234375,1.9192746164884977,9.641548411876022,0.6516780333167486,nan,0.016962811229674798
1510,-1460,-1.42578125,0,0.1435546875,2.1216004348912922,10.385241196112643,0.6050110140466916,nan,0.01752739448051948
1899,-1440,-1.40625,0,0.1484375,2.112269202681314,10.571552625702564,0.594348392297959,nan,0.016752189106683805
2387,-1516,-1.48046875,0,0.1298828125,2.2664572612022154,10.980929404362843,0.5721906658177046,nan,0.0159852074795082
3000,-1508,-1.47265625,0,0.1318359375,2.398944061976927,11.64009779014467,0.539788017287911,nan,0.013718074530995106
