# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,energy,energy_per_spin,magnetisation,broken_bond_density,L_C,L_S,characteristic_k,cluster_number_density,acceptance_rate
0,-224,-0.21875,0,0.4453125,0.6864172346134073,4.340872286236829,1.44744763099828,nan,nan
1,-548,-0.53515625,0,0.3662109375,0.7597317514559191,4.755050563192995,1.3213708715981467,nan,0.1962890625
2,-644,-0.62890625,0,0.3427734375,0.8011032824757959,4.927958440426048,1.275007771095645,nan,0.08984375
3,-692,-0.67578125,0,0.3310546875,0.8162565602023242,5.023127583571415,1.250851228172922,nan,0.08984375
4,-724,-0.70703125,0,0.3232421875,0.8395479276789145,5.237692418945665,1.1996094471779573,nan,0.091796875
5,-752,-0.734375,0,0.31640625,0.8584767271093409,5.259877974421181,1.1945496336102766,nan,0.0859375
6,-776,-0.7578125,0,0.310546875,0.8653629040647635,5.280677210494974,1.189844608318834,nan,0.0830078125
8,-796,-0.77734375,0,0.3056640625,0.878278768304536,5.400307328709397,1.1634866174701923,nan,0.0712890625
10,-884,-0.86328125,0,0.2841796875,0.9408305991866904,5.639432678901558,1.1141520193487648,nan,0.06396484375
12,-868,-0.84765625,0,0.2880859375,0.9273516507742737,5.653754522819784,1.111329698135864,nan,0.05517578125
16,-908,-0.88671875,0,0.2783203125,0.9603730745407167,5.770256313015055,1.088891890817328,nan,0.052490234375
20,-944,-0.921875,0,0.26953125,0.9837256113076642,5.867560880315665,1.0708342760035514,nan,0.046875
25,-928,-0.90625,0,0.2734375,0.9777816499100348,5.912161613186077,1.062756013496993,nan,0.0474609375
31,-1008,-0.984375,0,0.25390625,1.0635990078186677,6.16769372928967,1.0187252452795215,nan,0.047526041666666664
39,-1016,-0.9921875,0,0.251953125,1.1168272161338206,6.323903450193467,0.9935612326572387,nan,0.0386962890625
49,-1044,-1.01953125,0,0.2451171875,1.1315478504602032,6.386366017786131,0.9838435958228536,nan,0.03203125
61,-1084,-1.05859375,0,0.2353515625,1.1910093810881603,6.599578119079327,0.9520586306895813,nan,0.02734375
77,-1144,-1.1171875,0,0.220703125,1.2745571291632487,6.876278727744733,0.9137479087093858,nan,0.028076171875
97,-1112,-1.0859375,0,0.228515625,1.247916036001303,6.8172201925283655,0.9216638350725302,nan,0.029541015625
122,-1180,-1.15234375,0,0.2119140625,1.3175219750083969,7.03780076898917,0.8927768081849284,nan,0.0205859375
153,-1184,-1.15625,0,0.2109375,1.3873970927620953,7.232409294820512,0.8687541109819777,nan,0.025390625
193,-1264,-1.234375,0,0.19140625,1.500847244885009,7.740896568224823,0.8116870251142594,nan,0.02314453125
242,-1272,-1.2421875,0,0.189453125,1.5479983350773345,7.962783767280609,0.7890689350371966,nan,0.025151466836734693
305,-1284,-1.25390625,0,0.1865234375,1.571445985555214,8.152036490308884,0.7707503903655262,nan,0.023266989087301588
383,-1308,-1.27734375,0,0.1806640625,1.6119415818596632,8.274907151015668,0.7593058378193868,nan,0.020044571314102564
481,-1332,-1.30078125,0,0.1748046875,1.6772671569740518,8.592564946888896,0.7312351254853808,nan,0.019461495535714284
605,-1320,-1.2890625,0,0.177734375,1.6798384433958173,8.570253582809423,0.7331387859727587,nan,0.017838016633064516
760,-1336,-1.3046875,0,0.173828125,1.7374711224339292,9.025463771470093,0.6961620439983399,nan,0.019361139112903224
956,-1356,-1.32421875,0,0.1689453125,1.814926790401541,9.327345279932679,0.6736306117773455,nan,0.020632374043367346
1202,-1432,-1.3984375,0,0.150390625,1.9172357341553607,9.721586515237787,0.6463127491928617,nan,0.014072821392276422
1510,-1452,-1.41796875,0,0.1455078125,2.0264088109459326,10.04321056082036,0.6256152122998362,nan,0.01536817674512987
1899,-1448,-1.4140625,0,0.146484375,2.0573350615887183,9.974080388687533,0.6299513401060904,nan,0.016132109575835475
2387,-1488,-1.453125,0,0.13671875,2.117090056668718,10.417974992616902,0.6031100392957756,nan,0.0169037365522541
3000,-1480,-1.4453125,0,0.138671875,2.2201054164149534,10.738866196448976,0.5850883316953189,nan,0.01614434645187602
