# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
N,e_inf,L_S_max_over_N,cutoff_stable,two_of_three,L_C_alpha,L_C_R0,L_C_lambda,L_S_alpha,L_S_R0,L_S_lambda,L_E_alpha,L_E_R0,L_E_lambda
32,-1.7884765625,0.3571996823295937,True,True,0.335,0.8133212944729582,0.0010025490934300488,0.355,4.773739437374268,0.09520914880214072,0.405,0.7227000292271759,0.0038668994790856176
64,-1.8817138671875,0.23894488348394413,True,True,0.45,0.6518339559775855,0.0018787646293043224,0.38,4.447979179767725,0.13890484543569875,0.42500000000000004,0.6546620220008208,0.0021295643396786624
128,-1.918267822265625,0.14438563955280959,True,True,0.405,0.6532760927749186,0.0018238277255693313,0.365,4.6127810926546,0.1069150954423004,0.375,0.7137881445529628,0.001256400984678251
