# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,energy,energy_per_spin,magnetisation,broken_bond_density,L_C,L_S,characteristic_k,cluster_number_density,acceptance_rate
0,-964,-0.2353515625,0,0.441162109375,0.6818977637507959,4.419231945173067,1.4217821977057425,0.0849609375,nan
1,-1892,-0.4619140625,0,0.384521484375,0.7262737192038632,4.627110470350667,1.3579069156530021,0.038330078125,0.18017578125
2,-2272,-0.5546875,0,0.361328125,0.7617433977528014,4.814965214878396,1.3049284941383053,0.02978515625,0.130615234375
3,-2568,-0.626953125,0,0.34326171875,0.7915517606119756,4.9742018345081584,1.2631544750738604,0.022216796875,0.109619140625
4,-2752,-0.671875,0,0.33203125,0.81266974543684,5.078961454074062,1.2371004119630722,0.019287109375,0.091064453125
5,-2880,-0.703125,0,0.32421875,0.8287982743155481,5.147709498699901,1.2205788436131564,0.017333984375,0.08203125
6,-2952,-0.720703125,0,0.31982421875,0.8433764850038346,5.23666962234061,1.1998437480902642,0.0166015625,0.078369140625
7,-3112,-0.759765625,0,0.31005859375,0.8616192375912719,5.314594490778289,1.1822511234078092,0.014892578125,0.061767578125
9,-3140,-0.7666015625,0,0.308349609375,0.8729486881192758,5.391603870198666,1.1653647891138685,0.013671875,0.0667724609375
11,-3260,-0.7958984375,0,0.301025390625,0.8934319561634825,5.513398368226857,1.1396211351947525,0.01318359375,0.0618896484375
14,-3464,-0.845703125,0,0.28857421875,0.9247020746292044,5.672789587638744,1.1076006275415047,0.01123046875,0.059977213541666664
17,-3576,-0.873046875,0,0.28173828125,0.9515493601476561,5.816329776683229,1.0802663446574003,0.01220703125,0.051839192708333336
21,-3712,-0.90625,0,0.2734375,0.9741030131534132,5.907897043784663,1.0635231556361906,0.010986328125,0.05242919921875
26,-3876,-0.9462890625,0,0.263427734375,1.0161735198553612,6.100446693750351,1.0299549561864778,0.009521484375,0.045703125
33,-3968,-0.96875,0,0.2578125,1.0579332667118715,6.238964899703622,1.0070877794933684,0.007568359375,0.03874860491071429
41,-4080,-0.99609375,0,0.2509765625,1.100343263789073,6.3661897085311345,0.986961682709468,0.0068359375,0.03955078125
51,-4124,-1.0068359375,0,0.248291015625,1.1193273060793025,6.440975281082824,0.9755021612384281,0.008056640625,0.04013671875
63,-4312,-1.052734375,0,0.23681640625,1.2006312861551383,6.725383887737717,0.9342493175200922,0.006591796875,0.038899739583333336
79,-4428,-1.0810546875,0,0.229736328125,1.2478722289502795,6.901959136550701,0.9103480885457181,0.008056640625,0.031341552734375
98,-4540,-1.1083984375,0,0.222900390625,1.2977903065248222,7.083522966783514,0.8870141787699539,0.0068359375,0.03245785361842105
122,-4772,-1.1650390625,0,0.208740234375,1.3877122693151622,7.399986358957087,0.8490806607466643,0.00634765625,0.028330485026041668
152,-4852,-1.1845703125,0,0.203857421875,1.4093969885622173,7.508030375978272,0.8368619987583504,0.004638671875,0.0237548828125
189,-4896,-1.1953125,0,0.201171875,1.4515673816098422,7.6820354123864,0.8179063190790128,0.007080078125,0.02368823902027027
235,-5016,-1.224609375,0,0.19384765625,1.494234746455167,7.844332710198603,0.8009840402371853,0.006103515625,0.021871815557065216
292,-5072,-1.23828125,0,0.1904296875,1.5337659089921805,8.041286818558438,0.7813656506665899,0.0068359375,0.020674856085526317
364,-5208,-1.271484375,0,0.18212890625,1.605789692874581,8.275862714657293,0.7592181653825048,0.00439453125,0.019175211588541668
453,-5316,-1.2978515625,0,0.175537109375,1.6733827016687255,8.55648325161758,0.7343186590111968,0.00439453125,0.020260928721910113
563,-5396,-1.3173828125,0,0.170654296875,1.7217431807804608,8.792998606184167,0.7145668489883059,0.005126953125,0.017904385653409093
700,-5504,-1.34375,0,0.1640625,1.781451681655041,9.021312830294173,0.6964823663004157,0.004150390625,0.01840677748631387
871,-5596,-1.3662109375,0,0.158447265625,1.8712506997939204,9.469458317894548,0.6635210902514008,0.00439453125,0.017849392361111112
1084,-5648,-1.37890625,0,0.1552734375,1.9017979190267817,9.736456501489629,0.6453256691711498,0.004638671875,0.0167826621185446
1349,-5612,-1.3701171875,0,0.157470703125,1.9202729218757448,9.866157198899918,0.6368422051779354,0.005126953125,0.01817696049528302
1678,-5692,-1.3896484375,0,0.152587890625,1.9427886251327453,9.98469551566556,0.6292816137779602,0.003173828125,0.016986696191109422
2087,-5860,-1.4306640625,0,0.142333984375,2.110032898468244,10.659531074930479,0.5894429373123775,0.002685546875,0.015591572432762836
2597,-5968,-1.45703125,0,0.1357421875,2.270739413064,11.188004016028133,0.5616002012671951,0.003662109375,0.015614947150735295
3231,-6048,-1.4765625,0,0.130859375,2.3810586636966193,11.631837231455684,0.5401713574694913,0.002685546875,0.016012775409108834
4019,-6104,-1.490234375,0,0.12744140625,2.5233493629861323,12.146893110760141,0.5172668640356868,0.00439453125,0.014267355052347715
5000,-6256,-1.52734375,0,0.1181640625,2.7423705009554897,12.781038672063616,0.491602088718593,0.004150390625,0.013857780246559632
