# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,energy,energy_per_spin,magnetisation,broken_bond_density,L_C,L_S,characteristic_k,cluster_number_density,acceptance_rate
0,-628,-0.1533203125,0,0.461669921875,0.6571486824776072,4.1341794565744525,1.5198143605468406,0.096923828125,nan
1,-1680,-0.41015625,0,0.3974609375,0.7041517021924864,4.360410329927476,1.440961935177346,0.04150390625,0.205078125
2,-2072,-0.505859375,0,0.37353515625,0.7397616597033635,4.5465256226130135,1.381975123142156,0.03173828125,0.12646484375
3,-2320,-0.56640625,0,0.3583984375,0.7619675717956952,4.664362787946981,1.347061880224186,0.02490234375,0.1162109375
4,-2504,-0.611328125,0,0.34716796875,0.7812811734948015,4.775194526529091,1.315796722473335,0.022216796875,0.101806640625
5,-2656,-0.6484375,0,0.337890625,0.8076000651783444,4.920982445018036,1.276815224882713,0.024169921875,0.091796875
6,-2744,-0.669921875,0,0.33251953125,0.8209149679650515,4.9782879292150986,1.2621176992007017,0.01904296875,0.083984375
7,-2888,-0.705078125,0,0.32373046875,0.8357539731961822,5.035598712188585,1.2477533787534019,0.016845703125,0.083984375
9,-3092,-0.7548828125,0,0.311279296875,0.8653629040647635,5.195660395374257,1.209314086958717,0.0146484375,0.0701904296875
11,-3228,-0.7880859375,0,0.302978515625,0.8873083649629103,5.301319948904924,1.1852114884100673,0.013427734375,0.0662841796875
14,-3376,-0.82421875,0,0.2939453125,0.9084792312146569,5.412563250370151,1.1608520799733648,0.011962890625,0.057779947916666664
17,-3472,-0.84765625,0,0.2880859375,0.9230537643357477,5.491308454455167,1.1442054947909472,0.012939453125,0.05615234375
21,-3612,-0.8818359375,0,0.279541015625,0.9484123842350813,5.626711907495152,1.1166708746559368,0.00927734375,0.04510498046875
26,-3676,-0.8974609375,0,0.275634765625,0.9628731160140469,5.773311082790954,1.08831573720468,0.01025390625,0.044970703125
33,-3884,-0.9482421875,0,0.262939453125,1.0001190728630323,5.969368465711124,1.0525711963118158,0.00927734375,0.044921875
41,-4024,-0.982421875,0,0.25439453125,1.0535559736100977,6.149286307591186,1.0217747219580757,0.00732421875,0.03802490234375
51,-4164,-1.0166015625,0,0.245849609375,1.1256350963673871,6.323091682264781,0.9936887875282394,0.0087890625,0.034716796875
63,-4328,-1.056640625,0,0.23583984375,1.1728174157115405,6.467173525973445,0.9715504434735011,0.008056640625,0.03265380859375
79,-4432,-1.08203125,0,0.2294921875,1.2130469493758063,6.625384713951473,0.9483502586572373,0.007080078125,0.0294036865234375
98,-4460,-1.0888671875,0,0.227783203125,1.2504845771191937,6.792557587203357,0.9250102375306486,0.00732421875,0.029618112664473683
122,-4660,-1.1376953125,0,0.215576171875,1.331790611360692,7.076235746364992,0.8879276401167401,0.005126953125,0.029744466145833332
152,-4748,-1.1591796875,0,0.210205078125,1.3559114502401228,7.1856551866235785,0.8744067373113059,0.00439453125,0.024186197916666666
189,-4852,-1.1845703125,0,0.203857421875,1.4122452608890452,7.426283259285869,0.8460740168135997,0.00439453125,0.02293602195945946
235,-4916,-1.2001953125,0,0.199951171875,1.4433521171483057,7.5647719055981515,0.8305848987369793,0.006103515625,0.021675441576086956
292,-5036,-1.2294921875,0,0.192626953125,1.4810321651701706,7.700546693170151,0.8159401608138205,0.00634765625,0.01992530153508772
364,-5148,-1.2568359375,0,0.185791015625,1.5365273469255367,7.9983355911969936,0.7855616003528146,0.004638671875,0.019429524739583332
453,-5084,-1.2412109375,0,0.189697265625,1.5304584578113485,8.000438290951138,0.7853551366412209,0.005859375,0.019075886587078653
563,-5188,-1.2666015625,0,0.183349609375,1.598711205805814,8.334688904298806,0.7538596076380115,0.004638671875,0.02161310369318182
700,-5292,-1.2919921875,0,0.177001953125,1.6649263821451403,8.651918230377436,0.7262187574911333,0.00439453125,0.02042405622718978
871,-5508,-1.3447265625,0,0.163818359375,1.774513104007974,9.157091789531803,0.6861551081493354,0.00390625,0.01894445586622807
1084,-5476,-1.3369140625,0,0.165771484375,1.7814405750932991,9.229064827571158,0.6808041144546985,0.005126953125,0.017542592796361504
1349,-5660,-1.3818359375,0,0.154541015625,1.8791499007796255,9.7361726622599,0.6453444823893635,0.002685546875,0.016689084610849055
1678,-5644,-1.3779296875,0,0.155517578125,1.9431725517826581,10.09169324003479,0.6226096213719161,0.005126953125,0.01727536094224924
2087,-5836,-1.4248046875,0,0.143798828125,2.112666506826593,10.731735216376727,0.5854771088268548,0.0029296875,0.016934644330684596
2597,-5948,-1.4521484375,0,0.136962890625,2.281336047282652,11.299310610767042,0.5560680225209826,0.003662109375,0.01679400275735294
3231,-5992,-1.462890625,0,0.13427734375,2.338537046525787,11.554635086776564,0.5437805053982391,0.00390625,0.015333879633280758
4019,-6028,-1.4716796875,0,0.132080078125,2.4397751094866504,12.106997912283035,0.5189713711608922,0.00390625,0.014641621391180203
5000,-6176,-1.5078125,0,0.123046875,2.624883906455836,12.69205427787047,0.49504872651977083,0.003173828125,0.01441474937882263
