# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,energy,energy_per_spin,magnetisation,broken_bond_density,L_C,L_S,characteristic_k,cluster_number_density,acceptance_rate
0,-792,-0.193359375,0,0.45166015625,0.6667952121972115,4.362652435738639,1.440221379018882,0.090576171875,nan
1,-1832,-0.447265625,0,0.38818359375,0.7194125615342518,4.608809385598302,1.3632990174888568,0.0380859375,0.191162109375
2,-2196,-0.5361328125,0,0.365966796875,0.7539795599772197,4.815646414161347,1.3047439049309466,0.02978515625,0.1357421875
3,-2416,-0.58984375,0,0.3525390625,0.7782283766040794,4.916328471932331,1.278023904027312,0.026611328125,0.105712890625
4,-2552,-0.623046875,0,0.34423828125,0.7969116063286464,5.0265745088126925,1.2499934689446617,0.022216796875,0.10302734375
5,-2704,-0.66015625,0,0.3349609375,0.8193562686587886,5.166271403518451,1.2161934239266774,0.0205078125,0.093505859375
6,-2788,-0.6806640625,0,0.329833984375,0.8274738922856415,5.221337500437805,1.2033670121214624,0.019775390625,0.079345703125
7,-2948,-0.7197265625,0,0.320068359375,0.8420051411257796,5.287539870907505,1.188300317459582,0.01611328125,0.07666015625
9,-3108,-0.7587890625,0,0.310302734375,0.8723604477634004,5.474105925591773,1.1478011921189393,0.014892578125,0.062744140625
11,-3264,-0.796875,0,0.30078125,0.8946668310165073,5.565943097795461,1.128862655758771,0.015380859375,0.06201171875
14,-3440,-0.83984375,0,0.2900390625,0.922396084418159,5.686835971705333,1.1048648736206512,0.0126953125,0.056722005208333336
17,-3512,-0.857421875,0,0.28564453125,0.9364071641814727,5.739337481340648,1.0947579450776435,0.01123046875,0.048095703125
21,-3576,-0.873046875,0,0.28173828125,0.9446062783516134,5.797402664533633,1.0837931519950808,0.0126953125,0.0531005859375
26,-3756,-0.9169921875,0,0.270751953125,0.9748365244584986,5.93574192855593,1.0585341112881206,0.010986328125,0.04658203125
33,-3916,-0.9560546875,0,0.260986328125,1.0250736605788038,6.108191614018454,1.0286490182723669,0.01025390625,0.04265485491071429
41,-4024,-0.982421875,0,0.25439453125,1.068571495385866,6.24381550286765,1.006305408014355,0.0087890625,0.04058837890625
51,-4168,-1.017578125,0,0.24560546875,1.11808869462996,6.393703220156017,0.9827145694488875,0.00927734375,0.0359130859375
63,-4360,-1.064453125,0,0.23388671875,1.1824803559635075,6.567000652755433,0.9567815871227664,0.00634765625,0.032450358072916664
79,-4412,-1.0771484375,0,0.230712890625,1.2125413460338579,6.699279330461338,0.9378897336927288,0.007080078125,0.0274810791015625
98,-4504,-1.099609375,0,0.22509765625,1.2416916018793958,6.798804500459028,0.9241603147664227,0.00634765625,0.028076171875
122,-4496,-1.09765625,0,0.2255859375,1.251453050168581,6.904091122676225,0.9100669726885126,0.00830078125,0.027862548828125
152,-4620,-1.1279296875,0,0.218017578125,1.3069217141546832,7.115965465992345,0.8829701798311601,0.007080078125,0.026131184895833333
189,-4780,-1.1669921875,0,0.208251953125,1.3786591760101228,7.399627962785395,0.8491217854166883,0.005859375,0.025067303631756757
235,-4848,-1.18359375,0,0.2041015625,1.401145853612713,7.552560240940671,0.8319278637619998,0.005126953125,0.023824940557065216
292,-4964,-1.2119140625,0,0.197021484375,1.4599165270188394,7.757920898998768,0.8099058225755421,0.00634765625,0.022597998903508772
364,-4992,-1.21875,0,0.1953125,1.4961556211431168,7.962951314123051,0.7890523323978837,0.006103515625,0.022298177083333332
453,-5168,-1.26171875,0,0.1845703125,1.5797714133347105,8.244025605184389,0.762150144612397,0.005126953125,0.019824767380617978
563,-5320,-1.298828125,0,0.17529296875,1.6726997658582237,8.651313421625554,0.7262695270608975,0.0048828125,0.020598810369318182
700,-5488,-1.33984375,0,0.1650390625,1.7733711763418194,9.101849207972059,0.6903196442406799,0.00439453125,0.01829450843978102
871,-5528,-1.349609375,0,0.16259765625,1.7969990164837095,9.25421648256208,0.6789537849064939,0.00341796875,0.017946477521929825
1084,-5664,-1.3828125,0,0.154296875,1.901747558701146,9.74977547235513,0.6444441028406407,0.004638671875,0.01792771603579812
1349,-5716,-1.3955078125,0,0.151123046875,1.9775052617407356,10.127861894393051,0.6203861558043223,0.003173828125,0.017017062205188678
1678,-5784,-1.412109375,0,0.14697265625,2.058099432370718,10.437346236190605,0.6019906942813853,0.003662109375,0.015296263535334347
2087,-5956,-1.4541015625,0,0.136474609375,2.236133950555139,11.206531793769678,0.5606717067159664,0.0029296875,0.01508359279492665
2597,-5996,-1.4638671875,0,0.134033203125,2.3617132004260757,11.653674970017214,0.5391591342083145,0.004638671875,0.014235313265931372
3231,-6048,-1.4765625,0,0.130859375,2.476524284454442,12.003945527436207,0.5234266760723584,0.00439453125,0.01500271096214511
4019,-6204,-1.5146484375,0,0.121337890625,2.648787309755501,12.683365929334993,0.4953878443771292,0.003662109375,0.013842587543623096
5000,-6192,-1.51171875,0,0.1220703125,2.73506507255558,13.102567780987076,0.4795384700315777,0.004150390625,0.013336150531982671
