# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,E_per_spin_mean,L_C_mean,L_C_sem,L_S_mean,L_S_sem,L_E_mean,L_E_sem,excess_energy
0,-0.19951171875,0.6721678397085034,0.0013330239500290403,4.432746626090526,0.029946051864396188,0.5818434787644493,0.0013288182052359303,1.7187561035156251
1,-0.4490234375,0.7222690815946116,0.0017199587850183192,4.644790405883141,0.029815634455019984,0.6806506697295529,0.00147119702214259,1.4692443847656251
2,-0.545654296875,0.7590720527989545,0.0017475883608129507,4.833095074992281,0.027430409967731998,0.7285645794068977,0.0014872712192446735,1.372613525390625
3,-0.611474609375,0.7890869245584994,0.0018207032868175004,4.98639762317203,0.027265020281631844,0.765276337673751,0.0019415516193289329,1.306793212890625
4,-0.6553466796875,0.8111367774756928,0.0020238040383850956,5.09390299138137,0.028030206108559115,0.7918806539498411,0.0024010797050079274,1.262921142578125
5,-0.6885498046875,0.8286755906522117,0.002527336966894403,5.18212248631213,0.030337393843861207,0.8132795203638448,0.002766147035971276,1.229718017578125
6,-0.7159912109375,0.8444980757759716,0.00228122681420082,5.261379055731946,0.028903554717786932,0.8318350362950586,0.0027036936797248377,1.2022766113281251
8,-0.7624755859375,0.8728720688162172,0.0019942386748093843,5.397542137825147,0.025645876277850622,0.8652523035074408,0.002072263193080696,1.155792236328125
9,-0.780078125,0.8839123509676359,0.0018325800929740862,5.451701609028154,0.025935303253426144,0.8786177872565615,0.0016956056435013657,1.1381896972656251
12,-0.823779296875,0.913272724599649,0.0018911210541147224,5.599922991732947,0.02493086178434699,0.9137057422301622,0.001942044486210057,1.0944885253906251
15,-0.858984375,0.9383464282335943,0.002414513235396074,5.717757663346633,0.028109959443684277,0.9441083870749086,0.0027849144423448173,1.0592834472656252
18,-0.884228515625,0.9585351482424335,0.0017465656135062801,5.816454768170728,0.025957901241296433,0.9671183502458979,0.001996567426087443,1.034039306640625
23,-0.91748046875,0.9841352490638613,0.002826228605916479,5.9413765110261725,0.03061216378379952,0.9993081765467284,0.0032455662358244182,1.000787353515625
29,-0.9515625,1.0240856786116368,0.0067959572766327254,6.082933878036032,0.031929251311921654,1.03458244117586,0.004033188593553119,0.9667053222656251
36,-0.9804443359375,1.0698452149435884,0.00705663972502621,6.215051334678044,0.03133944745112292,1.0664815664561627,0.004671606734639844,0.9378234863281251
45,-1.008740234375,1.1137501103739926,0.0050191311284752795,6.349944858682905,0.029963418865112293,1.0995493900679914,0.0030836256151967737,0.909527587890625
57,-1.0408935546875,1.1636397908418568,0.005124797369484731,6.50957960661164,0.03389229719929349,1.1398548568268008,0.0033793764822536263,0.8773742675781251
71,-1.06494140625,1.2016949531250922,0.006718210694314346,6.644742305822727,0.039338340782841104,1.1720679199774056,0.0048785538061827,0.8533264160156251
88,-1.0921142578125,1.2464513829077282,0.005881080214019325,6.795516228762385,0.03641847221711684,1.2106151400776306,0.005038999772497626,0.826153564453125
111,-1.119580078125,1.2928526834703853,0.005407021933152967,6.969021381556781,0.037929933277407075,1.252206646227082,0.004597653252397423,0.798687744140625
138,-1.1416015625,1.3342326766811463,0.0049285503000372766,7.135733768022293,0.03449655988172575,1.2877238218905684,0.004945622589163121,0.7766662597656251
173,-1.1692138671875,1.3831219844042215,0.003501316543048122,7.333446931220121,0.02726634530022113,1.3351522386092243,0.004475047311911283,0.749053955078125
217,-1.1958984375,1.43494399100619,0.003903724272057356,7.539855135798142,0.029535760399563512,1.3844862071590833,0.004846579060228721,0.7223693847656252
271,-1.219482421875,1.4818933590486059,0.0032206116974479284,7.744048590494162,0.02920654143858212,1.4311678630443854,0.004238847219681358,0.6987854003906251
339,-1.241943359375,1.5315250375546179,0.0032798141570160606,7.957636955951104,0.028304897556513588,1.4786867910672505,0.004187166920499833,0.6763244628906251
425,-1.268017578125,1.5916717823887852,0.005159746061914926,8.211516626835152,0.033297083615630337,1.5380649834242446,0.005791558875942899,0.650250244140625
531,-1.292529296875,1.6515263102318503,0.004500874259016979,8.468495581012538,0.03254098198799791,1.5983147590611306,0.006038901620439513,0.6257385253906251
665,-1.316650390625,1.7142445159876736,0.0062585962428333974,8.761407380386656,0.03805132996808832,1.6623982883758472,0.00627737574035611,0.6016174316406251
832,-1.340283203125,1.78596320626682,0.008421383682205635,9.071130842379374,0.03927216941284881,1.7306633845569852,0.00999673654692532,0.577984619140625
1041,-1.3609130859375,1.858133016079887,0.009940311516551616,9.39836067944724,0.047884423760613755,1.7949355660417141,0.012302665512520938,0.557354736328125
1303,-1.3862548828125,1.9357120996657642,0.0094108604281913,9.75417519123459,0.04658534889638608,1.8802619260952629,0.011327399918072741,0.532012939453125
1630,-1.408251953125,2.0210972085322645,0.013627855750225619,10.12183459553108,0.05840017688383557,1.961345564635248,0.011663614934400745,0.5100158691406251
2039,-1.4302978515625,2.140030833878327,0.01706162493440816,10.534118126877564,0.06767629703760951,2.0502049073312385,0.014224112849926609,0.4879699707031251
2552,-1.4556640625,2.2718822206856357,0.01710022424263458,10.998705744806763,0.06507361838010516,2.1627061157005834,0.015686200220621675,0.4626037597656252
3193,-1.477880859375,2.409231862962019,0.014779399615597147,11.537373276008523,0.054659258872957514,2.2713650662016756,0.012658064847663067,0.4403869628906252
3995,-1.503125,2.558344776219292,0.017050552459473983,12.077583180236127,0.07037907539685918,2.4100796937091156,0.01830533938533749,0.41514282226562504
4999,-1.522021484375,2.7047651501259806,0.013805015404239169,12.634211758328851,0.069583550292042,2.524254492857976,0.012675100341096944,0.39624633789062513
6254,-1.5448486328125,2.871241347230633,0.016075455027445004,13.274378433082314,0.08382993410660773,2.6791633095329184,0.01898568605514634,0.37341918945312513
7826,-1.5632568359375,3.0494199464667733,0.020342030830005253,13.94850963708532,0.09905421420015546,2.8187661992533846,0.024642768030569362,0.355010986328125
9792,-1.589013671875,3.2675878347013674,0.017017544523347333,14.73668812412976,0.09552066241468324,3.0376597269137293,0.01295473421740477,0.329254150390625
12252,-1.6049072265625,3.4870396529835284,0.024484398250196167,15.553478779231948,0.09353743105433865,3.1922123219109606,0.01882181812194455,0.31336059570312513
15330,-1.6229736328125,3.723982183275466,0.029067710981347084,16.43813042613101,0.10603832672754279,3.389870540976517,0.03612400771445391,0.29529418945312513
19181,-1.64443359375,3.986540243459532,0.02535296423947783,17.436275885602175,0.1268656956193031,3.6530437055478813,0.02203362903964431,0.273834228515625
24000,-1.66015625,4.2380966552095405,0.029850226238956803,18.481361862759627,0.1749581279207497,3.8775062477100293,0.0374994948945997,0.2581115722656251
