# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,energy,energy_per_spin,magnetisation,broken_bond_density,L_C,L_S,characteristic_k,cluster_number_density,acceptance_rate
0,-3176,-0.19384765625,0,0.4515380859375,0.6702040533130841,4.458917147160208,1.4091280685000431,nan,nan
1,-7196,-0.439208984375,0,0.39019775390625,0.7179662555179958,4.663602367720716,1.3472815244002938,nan,0.192626953125
2,-8880,-0.5419921875,0,0.364501953125,0.7522271379900558,4.824156395642998,1.3024422908126134,nan,0.140380859375
3,-9832,-0.60009765625,0,0.3499755859375,0.7845956996853856,5.0015316498879,1.2562522337173279,nan,0.10955810546875
4,-10624,-0.6484375,0,0.337890625,0.807978096102909,5.1261560954242755,1.225710881646406,nan,0.0985107421875
5,-11108,-0.677978515625,0,0.33050537109375,0.8209149679650515,5.197854270673427,1.208803667819172,nan,0.08721923828125
6,-11684,-0.713134765625,0,0.32171630859375,0.8420736023942669,5.29244822665628,1.1871982564767092,nan,0.07977294921875
8,-12444,-0.759521484375,0,0.31011962890625,0.8707468669789044,5.421856886733644,1.1588622566843225,nan,0.0738525390625
9,-12792,-0.78076171875,0,0.3048095703125,0.8843534485395858,5.478918653809001,1.1467929539000274,nan,0.06768798828125
12,-13400,-0.81787109375,0,0.2955322265625,0.9102358266696334,5.614412362868497,1.1191171757767722,nan,0.058430989583333336
15,-13952,-0.8515625,0,0.287109375,0.9335373387278789,5.737141827440879,1.0951769184312246,nan,0.056477864583333336
18,-14464,-0.8828125,0,0.279296875,0.958506546584645,5.857719553365923,1.0726333430505708,nan,0.05145263671875
23,-14888,-0.90869140625,0,0.2728271484375,0.9754792536354044,5.93669497509067,1.058364179655975,nan,0.04786376953125
29,-15384,-0.93896484375,0,0.2652587890625,1.000667134556017,6.057038682513426,1.037336169788554,nan,0.0430908203125
36,-15872,-0.96875,0,0.2578125,1.0474009556455788,6.185762440242945,1.015749532556057,nan,0.04222760881696429
45,-16452,-1.004150390625,0,0.24896240234375,1.1006305496101731,6.351604030841191,0.989228118861096,nan,0.03864881727430555
57,-16860,-1.029052734375,0,0.24273681640625,1.1420245207711022,6.502274981924322,0.96630568910823,nan,0.034159342447916664
71,-17360,-1.0595703125,0,0.235107421875,1.1860730582817525,6.63822974692359,0.9465151925619109,nan,0.03297642299107143
88,-17688,-1.07958984375,0,0.2301025390625,1.2292312100522007,6.797605936339766,0.9243232641053662,nan,0.03043859145220588
111,-18376,-1.12158203125,0,0.2196044921875,1.2871988722039853,6.993198342859184,0.8984709140411271,nan,0.029047426970108696
138,-18636,-1.137451171875,0,0.21563720703125,1.3251557063216248,7.166635102249072,0.8767273926375523,nan,0.025679976851851853
173,-19208,-1.17236328125,0,0.2069091796875,1.3848871508547154,7.391923056022815,0.8500068601309577,nan,0.024039132254464284
217,-19796,-1.208251953125,0,0.19793701171875,1.4491900759122105,7.641521427689091,0.8222427126111866,nan,0.022705078125
271,-19984,-1.2197265625,0,0.195068359375,1.4881449282809525,7.835241925952535,0.8019133763270156,nan,0.02250388816550926
339,-20388,-1.244384765625,0,0.18890380859375,1.542340821436912,8.08110604406974,0.7775155124700356,nan,0.021391924689797795
425,-21004,-1.281982421875,0,0.17950439453125,1.6171873393913132,8.378744195035372,0.7498958269787661,nan,0.019695193268531978
531,-21440,-1.30859375,0,0.1728515625,1.6797430623830174,8.6504933573324,0.7263383772040912,nan,0.01954449347729953
665,-21576,-1.31689453125,0,0.1707763671875,1.7248594424574475,8.875783179558223,0.7079020724222245,nan,0.01877058797807836
832,-22060,-1.346435546875,0,0.16339111328125,1.8093274124638268,9.201145814436275,0.6828698766322656,nan,0.018051056090943114
1041,-22360,-1.36474609375,0,0.1588134765625,1.8628203262692828,9.508857108316308,0.6607718714885729,nan,0.01763302743720096
1303,-22680,-1.38427734375,0,0.1539306640625,1.9367043557779702,9.827348731648176,0.6393571123557568,nan,0.01730766005188454
1630,-23056,-1.4072265625,0,0.148193359375,2.0172645279416828,10.196975546301752,0.6161812665578449,nan,0.016553406321674312
2039,-23460,-1.431884765625,0,0.14202880859375,2.124815366849304,10.547883158561406,0.5956821110669689,nan,0.016100148991442544
2552,-23672,-1.44482421875,0,0.1387939453125,2.22894241835132,10.875466271653346,0.5777393952806019,nan,0.015229401765046295
3193,-24168,-1.47509765625,0,0.1312255859375,2.3760772648742,11.414612018285954,0.5504510619470958,nan,0.014659578082342044
3995,-24416,-1.490234375,0,0.12744140625,2.492100775517805,11.816421867197578,0.531733326534467,nan,0.014651786062188279
4999,-24772,-1.511962890625,0,0.12200927734375,2.624689147861001,12.349240375206483,0.50879123867362,nan,0.014359189219683766
6254,-25212,-1.538818359375,0,0.11529541015625,2.799632548590143,13.043940576146616,0.48169380031289116,nan,0.013491201210781872
7826,-25428,-1.552001953125,0,0.11199951171875,2.9457708311737747,13.679958751518196,0.45929855647278767,nan,0.013151911378816794
9792,-25956,-1.584228515625,0,0.10394287109375,3.158697493795498,14.388922203770468,0.4366682381209305,nan,0.012876400021061165
12252,-26240,-1.6015625,0,0.099609375,3.3380503272234643,15.226415299883257,0.4126503305888261,nan,0.012436632606072154
15330,-26540,-1.619873046875,0,0.09503173828125,3.647191804008211,16.332681254372762,0.3847001731878765,nan,0.012073261541077811
19181,-27032,-1.64990234375,0,0.0875244140625,4.039677335338838,17.78860431267482,0.3532140687790026,nan,0.011560052254081733
24000,-27324,-1.667724609375,0,0.08306884765625,4.337578365702203,19.059500334079928,0.32966159642415926,nan,0.01134482575887762
