# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,energy,energy_per_spin,magnetisation,broken_bond_density,L_C,L_S,characteristic_k,cluster_number_density,acceptance_rate
0,-3524,-0.215087890625,0,0.44622802734375,0.6753171124052614,4.406765366446286,1.4258043677615828,nan,nan
1,-7376,-0.4501953125,0,0.387451171875,0.7246982881426834,4.624329971435329,1.3587233925760214,nan,0.18292236328125
2,-8992,-0.548828125,0,0.36279296875,0.7638220544175152,4.82504562342996,1.302202258289339,nan,0.13232421875
3,-10032,-0.6123046875,0,0.346923828125,0.7929456577480353,4.9885199408587075,1.2595289548142048,nan,0.1083984375
4,-10696,-0.65283203125,0,0.3367919921875,0.8136913290263269,5.088897340036005,1.2346850186478966,nan,0.09820556640625
5,-11304,-0.68994140625,0,0.3275146484375,0.83125959032403,5.1562022494262205,1.2185684353011512,nan,0.08740234375
6,-11784,-0.71923828125,0,0.3201904296875,0.8451659242571478,5.223377009056581,1.2028971480108464,nan,0.07769775390625
8,-12572,-0.767333984375,0,0.30816650390625,0.8761982433034762,5.381858766147644,1.1674749524646324,nan,0.07171630859375
9,-12860,-0.784912109375,0,0.30377197265625,0.8860179002350149,5.440074672518728,1.1549814451849247,nan,0.065673828125
12,-13468,-0.822021484375,0,0.29449462890625,0.9111968358126947,5.555065858485188,1.1310730542613134,nan,0.060201009114583336
15,-14088,-0.85986328125,0,0.2850341796875,0.9379336384574433,5.683502826413952,1.1055128323291445,nan,0.0562744140625
18,-14488,-0.88427734375,0,0.2789306640625,0.9561173592916441,5.7835873922562255,1.0863820118966792,nan,0.049336751302083336
23,-14960,-0.9130859375,0,0.271728515625,0.9797240786914283,5.886929810645211,1.06731106184039,nan,0.04600830078125
29,-15560,-0.94970703125,0,0.2625732421875,1.0199914749516161,6.053256285781881,1.0379843526430181,nan,0.046702067057291664
36,-16092,-0.982177734375,0,0.25445556640625,1.0762225661328795,6.209561019673331,1.0118566010178491,nan,0.04198346819196429
45,-16564,-1.010986328125,0,0.24725341796875,1.123088209146366,6.352515845478565,0.9890861290258213,nan,0.038397894965277776
57,-17116,-1.044677734375,0,0.23883056640625,1.1739847218040596,6.508725007384187,0.9653480981376961,nan,0.034093221028645836
71,-17596,-1.073974609375,0,0.23150634765625,1.2181479340855632,6.657969213969473,0.9437089757033525,nan,0.030853271484375
88,-17852,-1.089599609375,0,0.22760009765625,1.2466660594419627,6.743295777581525,0.9317677163247676,nan,0.029210707720588234
111,-18336,-1.119140625,0,0.22021484375,1.291484137190963,6.8857599417973985,0.9124897411888976,nan,0.02877409561820652
138,-18696,-1.14111328125,0,0.2147216796875,1.3327944080113205,7.0629301392723365,0.8896003759463655,nan,0.026640715422453703
173,-19168,-1.169921875,0,0.20751953125,1.3832691548660048,7.269809521371796,0.8642847228264054,nan,0.02437220982142857
217,-19496,-1.18994140625,0,0.2025146484375,1.4243188728943754,7.439895488513384,0.8445260174528435,nan,0.023490212180397728
271,-19764,-1.206298828125,0,0.19842529296875,1.4626110877038379,7.626744833826507,0.8238357836900613,nan,0.022780806929976853
339,-20200,-1.23291015625,0,0.1917724609375,1.5211976959649758,7.851226034219907,0.8002807815994664,nan,0.02235143324908088
425,-20596,-1.257080078125,0,0.18572998046875,1.570206908781008,8.063346080811954,0.7792280331525704,nan,0.02218273074127907
531,-21228,-1.295654296875,0,0.17608642578125,1.6431258751164823,8.366987308881134,0.7509495443491713,nan,0.020527965617629717
665,-21628,-1.320068359375,0,0.16998291015625,1.7088946419916253,8.661715650862513,0.725397318550156,nan,0.018537834509095148
832,-21828,-1.332275390625,0,0.16693115234375,1.7676969557974738,8.945801149091464,0.7023613874781586,nan,0.01794360497754491
1041,-22208,-1.35546875,0,0.1611328125,1.831811342782231,9.260065615558906,0.6785249228280285,nan,0.01764441677257775
1303,-22556,-1.376708984375,0,0.15582275390625,1.8957459478763603,9.571848501363363,0.6564233968271272,nan,0.016995728470896948
1630,-22812,-1.392333984375,0,0.15191650390625,1.9624215665499862,9.915289522736403,0.6336865194679222,nan,0.01706931204606269
2039,-23248,-1.4189453125,0,0.145263671875,2.1023265996938316,10.41415136775164,0.6033314751537064,nan,0.01602702618811125
2552,-23888,-1.4580078125,0,0.135498046875,2.2792620267833525,11.017821764753776,0.5702747277397078,nan,0.01559715940241228
3193,-24156,-1.474365234375,0,0.13140869140625,2.4074957178767744,11.566039597825352,0.5432443192016178,nan,0.014746227056113495
3995,-24772,-1.511962890625,0,0.12200927734375,2.5901715029580927,12.14481786872159,0.5173552518528611,nan,0.014407036607699502
4999,-24976,-1.5244140625,0,0.118896484375,2.695352984639423,12.559140687948618,0.5002878352345194,nan,0.014029757435103337
6254,-25152,-1.53515625,0,0.1162109375,2.8122922794787995,13.046304663285875,0.48160651382466546,nan,0.013730770278261951
7826,-25500,-1.556396484375,0,0.11090087890625,2.9922669111146174,13.721417570174994,0.45791080076425766,nan,0.013215703211971215
9792,-26036,-1.589111328125,0,0.10272216796875,3.2268566923372375,14.564061327497805,0.4314171140790627,nan,0.012560110004848041
12252,-26372,-1.609619140625,0,0.09759521484375,3.489167230671362,15.549305704659888,0.4040814057245406,nan,0.012108531424669715
15330,-26484,-1.616455078125,0,0.09588623046875,3.642968358221369,16.26460282654331,0.3863104051287148,nan,0.011866955574338044
19181,-26936,-1.64404296875,0,0.0889892578125,3.957360791570078,17.397210760910106,0.36116049828500735,nan,0.01169358151697611
24000,-27016,-1.64892578125,0,0.0877685546875,4.13730425030393,18.069101194232157,0.34773092693649,nan,0.011303827460313344
