# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,E_per_spin_mean,L_C_mean,L_C_sem,L_S_mean,L_S_sem,L_E_mean,L_E_sem
0,-1.2080891927083333,2.43055632584592,0.1684841325717521,17.917954291111425,1.0322307824798118,1.4950000271005381,0.03952242258126237
1,-1.240478515625,2.4335842225460107,0.1691433941463682,17.933579907687648,1.02824289257105,1.5703190764893513,0.04081151556147612
2,-1.2566731770833333,2.4412813851891833,0.1644773468206524,17.992413747253405,1.0268603736413306,1.6102048157187683,0.040202803336233675
3,-1.2704264322916667,2.4520921347682543,0.1653787577424561,18.023689899072195,1.0277050193140271,1.646862049683748,0.04196610549828721
4,-1.2833658854166667,2.462882024932517,0.16185028411990596,18.063681242167664,1.0218822329442545,1.681741935664023,0.0417381826721357
5,-1.28955078125,2.4780654360649503,0.15810148223104117,18.11182681545748,1.0210305260123975,1.6997447695286603,0.04301925015548903
6,-1.2993977864583333,2.493825082897576,0.15687441380890643,18.153338743163406,1.0186868279837968,1.7285774053651242,0.043537622524563946
7,-1.3060709635416667,2.4974280537149722,0.1559372046953204,18.17595768994074,1.0188230739554245,1.7484325274395276,0.0438383082515474
9,-1.3145345052083333,2.517276488008994,0.15496418906379475,18.21357474589217,1.0113968780880505,1.7747158887474317,0.04495390575398295
11,-1.32275390625,2.530471378588738,0.151321889798167,18.266312104620294,1.0075250581422306,1.799989552875049,0.043776370280286636
14,-1.3396809895833333,2.562754933606701,0.14921130732163862,18.376156246222912,1.0157156155387128,1.8574078581842761,0.04775850195054927
17,-1.350830078125,2.5897636406554168,0.14556484602383393,18.4330464820998,1.016177134087817,1.8960702948888806,0.04819888601614162
22,-1.3668619791666667,2.626267622189058,0.14293902306040002,18.51605136585027,1.0098176331991826,1.95625634097621,0.051184724546168174
27,-1.377685546875,2.6599185671520345,0.14516579167865185,18.625358958298612,1.0176891908012815,1.999660634913732,0.05518046506696981
33,-1.3912760416666667,2.6841599773288944,0.14288325357251458,18.691685253093556,1.0115656341688684,2.0534711957268628,0.052976667209731966
42,-1.4031575520833333,2.722694796734414,0.13798717975828942,18.781828867393898,1.006245717112252,2.103943143665374,0.05389909742926058
52,-1.41748046875,2.7579954827103443,0.13130842245193103,18.93378983054279,0.9970652920090777,2.1687059762926517,0.05539396213762175
64,-1.4324544270833333,2.823164952254222,0.13229333408814634,19.08181493059597,0.9984004369717463,2.2378822230647795,0.051485328117484616
80,-1.448486328125,2.8681930382689695,0.13006032398375228,19.2140985535148,0.9890567616321133,2.3244586059692973,0.06070165515610419
100,-1.46435546875,2.935104458834454,0.13278847431904806,19.405421140244773,1.009041617178691,2.4146612929760454,0.06548490345323628
124,-1.4784342447916667,2.9812788302818762,0.12720184649866972,19.530582572756582,0.9823202495502994,2.4998971874356717,0.06917894136935482
155,-1.4916178385416667,3.04893576663018,0.12941182172393084,19.708599990714138,0.9770132838563316,2.586654755669097,0.07494670091895773
193,-1.5067545572916667,3.117241703800861,0.12936615583026928,19.913149342638945,0.9811753948414648,2.691236575542506,0.07890512091436917
240,-1.5213216145833333,3.1837624310676578,0.12159482803155597,20.137495727080896,0.965129981911865,2.7959275933518,0.07616616951888804
299,-1.52880859375,3.246019001736272,0.12033438073197623,20.270605406824185,0.9587186186594997,2.8490125498047383,0.06525533462235872
372,-1.5389811197916667,3.3256592891355834,0.12655667611998572,20.45884443324091,0.9733082077433957,2.9389501873908634,0.07678635812363314
463,-1.55078125,3.40931464414577,0.12872694918034702,20.676673798762856,0.9582785283179449,3.041631738305916,0.0766136121169111
576,-1.5616048177083333,3.4979999705595954,0.13247443778405588,20.958396904181143,0.9668586332738958,3.1489425311984145,0.08889942416256548
718,-1.5777994791666667,3.625918167747981,0.13640873299713868,21.274971908458564,0.9631146100283178,3.317271945944847,0.09235703977890783
894,-1.5896809895833333,3.735214023815151,0.14126523450363432,21.575682955586615,0.9748913157376011,3.451937082368793,0.09674587052729959
1113,-1.5966796875,3.817619897905176,0.14890558161612094,21.854918947108434,1.0021240489576022,3.5400589581373456,0.1050423791218433
1385,-1.6050618489583333,3.965323901234569,0.15695222981678875,22.2149204544022,1.0257003537358869,3.6460972916316057,0.10496776120636486
1725,-1.6266276041666667,4.100040851324333,0.15717635019759127,22.67697961448776,1.0357013819804919,3.9769590384978386,0.14569614166767803
2147,-1.6365559895833333,4.234770397197599,0.16974138816657866,23.089323250688953,1.0886989643976102,4.16977718545535,0.19213727244680104
2674,-1.64404296875,4.36916922926163,0.17772802392845155,23.5687958605729,1.085561038585341,4.290589327171164,0.18464033298724822
3329,-1.6548665364583333,4.579398409410222,0.18435507092540576,24.109529627175338,1.0681512537611215,4.478311153992524,0.17832397560638907
4145,-1.6681315104166667,4.784557491749306,0.19285220798437924,24.71815622669378,1.044179158825597,4.726903582410585,0.1463466183206382
5161,-1.6845703125,5.046316036520508,0.21253039190719478,25.5994801164166,1.0896694223835006,5.143606442088182,0.18665527287863273
6425,-1.703125,5.308222000581574,0.22602205362608876,26.503177049514548,1.156582666232705,5.728610543828727,0.27251198686429223
8000,-1.70947265625,5.513600632090726,0.22275056152377826,27.192334317550262,1.158598431066028,5.952808138943527,0.3043292435706805
