# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,E_per_spin_mean,L_C_mean,L_C_sem,L_S_mean,L_S_sem,L_E_mean,L_E_sem
0,-0.9086100260416666,1.102975895894251,0.01870415241844146,9.717544047727166,0.23729592603558985,1.0282460702946847,0.008754579769443655
1,-0.9671223958333334,1.1933012076392973,0.017539417037269675,9.802770776403877,0.23466030051704667,1.0937358374890844,0.007760800249396683
2,-1.002197265625,1.2461309325422298,0.01567174471028785,9.86678713321018,0.23073388987982957,1.1372982553989903,0.007761463618012593
3,-1.0225423177083333,1.281456370405547,0.016973984073636317,9.936505866834803,0.23203760541673427,1.1643961174653266,0.00910009693669795
4,-1.0413411458333333,1.3100558224453351,0.016278985434272378,9.989530403762933,0.23395075624292788,1.1904530993245128,0.00937596821686661
5,-1.0557454427083333,1.3381449098674782,0.01498560224026791,10.059114564088505,0.22853614998975255,1.2109959166517321,0.008207564570288347
6,-1.06982421875,1.3654766511115566,0.01483017692701821,10.132765948301545,0.22147211685068335,1.232092504817224,0.00902052718665343
7,-1.0826009114583333,1.3827384757005987,0.014893678458573494,10.16152840198594,0.2268455015591464,1.2516620614660836,0.008371686686290257
9,-1.1023763020833333,1.419008454823797,0.013801750139224793,10.279967673952132,0.22922215612937513,1.2834629838447025,0.00893228061809734
11,-1.1175130208333333,1.4441179852880541,0.013993320350038483,10.337346954963644,0.2297149685416486,1.3086619601085958,0.007574746742823574
14,-1.1392415364583333,1.4819503493326138,0.013894617916877955,10.451160652660992,0.22712374540924996,1.3472432391579667,0.009897247265817612
17,-1.15087890625,1.5024708869926933,0.014382354090679898,10.514299477330017,0.23490072440214668,1.368543336589554,0.00906182203980654
22,-1.1739908854166667,1.5399050663967229,0.015726673100116627,10.608426447408084,0.24071141680919397,1.4137040864505999,0.01211909446466251
27,-1.192138671875,1.5701490621290917,0.01565957507835416,10.706215143529858,0.23424785059191813,1.4508431732066542,0.012252002130248824
33,-1.2090657552083333,1.60092625108733,0.0165176224679003,10.800840909122106,0.23889096843071386,1.4871721916946583,0.011592575608366214
42,-1.2332356770833333,1.6430967671924972,0.016995839331877313,10.9630594334222,0.24292863341113932,1.5431361168560798,0.014748793304079367
52,-1.253173828125,1.6806559740082962,0.01753301842596344,11.089938199412993,0.24390361966086896,1.592412893292993,0.01683781241543979
64,-1.272216796875,1.719833774189743,0.01754986410838234,11.240757461762227,0.24547675417213874,1.641753513713361,0.015672684141373742
80,-1.2891438802083333,1.752060587898205,0.01751511657505632,11.383894485846733,0.24317602281347767,1.6889338633325812,0.017482699687611503
100,-1.3052571614583333,1.7875412921186704,0.018233293275132356,11.498166170963353,0.23744383565353833,1.7361026854402635,0.018082801824957417
124,-1.3212076822916667,1.829142108164074,0.019474962651412634,11.6605879210982,0.23875620494034544,1.786184039782819,0.02113370370006497
155,-1.3387044270833333,1.8749661576894958,0.017897584074562434,11.84047662096033,0.23986421452079199,1.8421153273262438,0.014579538009786069
193,-1.3611653645833333,1.9355191320409773,0.02300672964012189,12.064320145800451,0.2476107396273861,1.923188039915132,0.022701287161083245
240,-1.3776041666666667,1.9911246888211405,0.027685670262782996,12.227723136224268,0.2490289017558355,1.9861112546832322,0.02454668178788519
299,-1.3972981770833333,2.060846980760731,0.02957361733031952,12.442507544217124,0.2534498386044367,2.065118880181496,0.017930736666920084
372,-1.4099934895833333,2.1283705507764132,0.03281917366877308,12.620853943776515,0.24036408793627373,2.122707207182424,0.027368958889052913
463,-1.4248046875,2.204906111710781,0.037581744991057375,12.85740930082238,0.25812100265777393,2.1908262727398893,0.02577503348910381
576,-1.4376627604166667,2.274427813523314,0.03991045854882959,13.094424737675565,0.276893758505128,2.2561588912893584,0.03336940415645044
718,-1.4552408854166667,2.367385474440571,0.03652465305490228,13.377588408146345,0.27379857167807553,2.3501871556533116,0.03707779299523606
894,-1.4735514322916667,2.474993084625279,0.03588169472765627,13.734763266905004,0.2853911275853493,2.4528613599490585,0.030326302351085986
1113,-1.4895833333333333,2.573970921158187,0.039850206665395585,14.078857904029034,0.2906298805234106,2.5536021551749895,0.033129884566984874
1385,-1.5081380208333333,2.6796592435747826,0.03476027455332341,14.427629612047221,0.2753789463656404,2.6809552601058493,0.037511872070656455
1725,-1.5266927083333333,2.801917901414337,0.03656609670330827,14.848778936705479,0.280219815843814,2.8217893528635005,0.041408137921977214
2147,-1.5406901041666667,2.925485056551638,0.03839266119461307,15.312301758010776,0.28563408221856107,2.9365644139635,0.04064178791033564
2674,-1.5592447916666667,3.0389389209504514,0.04412342996391114,15.723510407530185,0.27978584811180424,3.1085134460116444,0.05236442511257566
3329,-1.5751953125,3.219774620313121,0.05454876866381849,16.221089829030596,0.2871312450399136,3.2693169243909908,0.05158634582181676
4145,-1.5861002604166667,3.3590793525835214,0.05608907755966148,16.76139495049617,0.2954037133934981,3.3949793392111665,0.06787479174847232
5161,-1.6053873697916667,3.529776896865801,0.05995821297927178,17.31027935007852,0.3155171790442389,3.627306876769825,0.06159203922238686
6425,-1.6187337239583333,3.7359564208955116,0.06624607475597973,17.994392540656218,0.3461904787869676,3.8128995372103156,0.06796880080158235
8000,-1.63232421875,3.867227435459075,0.07987061004409178,18.530022586051025,0.40950453729974695,4.027924547512716,0.08803596019939809
