# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,E_per_spin_mean,L_C_mean,L_C_sem,L_S_mean,L_S_sem,L_E_mean,L_E_sem
0,-0.20182291666666666,0.6749019278266161,0.001821957050578537,4.386412640752408,0.032689971251656444,0.5953241096715822,0.0026003043892797524
1,-0.448974609375,0.7241346480574156,0.0022710947039404315,4.6057598281594005,0.03385394185305119,0.6979515657486538,0.002456816601035984
2,-0.5454915364583334,0.7599150109522447,0.002748015253919213,4.792597527035901,0.03248542956374995,0.7484024519716912,0.003163504832450052
3,-0.6038411458333334,0.7870074208903866,0.003005763814294596,4.936412483839406,0.03257763253368451,0.7825502166544626,0.0030867587324387765
4,-0.6503092447916666,0.8083694761441129,0.0034275498331447795,5.046985072370435,0.031626635860262396,0.8121458175012775,0.0039288298566824515
5,-0.6849772135416666,0.8261068022063808,0.0033626013649499806,5.136810974845448,0.03107795300580089,0.8356232363876187,0.003613570993618435
6,-0.71142578125,0.8409655902890787,0.003812736284869185,5.211886572655579,0.03237582483422639,0.8545317336114938,0.003957874229327906
7,-0.7353515625,0.8549138081545848,0.0036059600397749126,5.2866356509751204,0.034109290879091356,0.8723346613222661,0.0037277299265518968
9,-0.77001953125,0.8782820501845768,0.0031858270868430003,5.413587669979744,0.032987409874646476,0.8995277741457272,0.0038087087025267994
11,-0.8037109375,0.8974130555892273,0.0038971823409275435,5.505235942959899,0.0301865893197067,0.9276693080115866,0.004263781725377104
14,-0.8384602864583334,0.9223804773610397,0.004113935392893171,5.634225474070409,0.03221213205604768,0.9585684521015688,0.004460563690350944
17,-0.8704427083333334,0.9445921393323723,0.0036781038026446346,5.746448529624282,0.03089031909764856,0.9889078823717409,0.00489976982369222
22,-0.9085286458333334,0.9741612568133523,0.004616292567682202,5.905136000047066,0.036006348078752214,1.0276339466853368,0.00539742535878414
27,-0.93212890625,0.99968926825682,0.005386481295630612,6.018099907806267,0.03517918143711283,1.0531770289667213,0.005580761025222072
33,-0.959228515625,1.038762957504804,0.010098740278915356,6.1343860689800636,0.03816713741909907,1.0844096479305378,0.007888195367476949
42,-0.99853515625,1.094994541800614,0.010180882472668447,6.301739364987346,0.040618419207293484,1.1326665174231765,0.008356695216003417
52,-1.027099609375,1.1425613951640476,0.00898041067883771,6.448731087277764,0.03888884618474266,1.170452054480146,0.008240345650602669
64,-1.0486653645833333,1.1750150530545387,0.008720076132900574,6.557765112433515,0.03682898223022205,1.2007525606615437,0.008551960218057769
80,-1.077392578125,1.2233373325821588,0.009517059841165472,6.7311866481941856,0.043680038727317225,1.2436380816904815,0.008879797787375184
100,-1.1011555989583333,1.262959280757863,0.008114860927401447,6.892265070402032,0.04367474458434315,1.2812898096577479,0.007676795955110419
124,-1.1292317708333333,1.3114758118886727,0.010443869837086632,7.078643786244648,0.048630128585708775,1.329664800211622,0.011594014201453264
155,-1.1497395833333333,1.3499092003864746,0.00891868560726169,7.2540639031031455,0.04631473601697347,1.3664511301802758,0.009321718509649983
193,-1.1761067708333333,1.3990398782203826,0.010876087285626428,7.455588774762622,0.04992016422753764,1.4178070846677953,0.011563570054415636
240,-1.2067057291666667,1.451685427173332,0.012275118779241534,7.669497313769262,0.05540415133500071,1.4825715344718067,0.014667226089996484
299,-1.2254231770833333,1.495203112589312,0.010791485792246742,7.861121301079447,0.044247463658058005,1.5239228498147341,0.009855781552336608
372,-1.248046875,1.5518726545403692,0.009735244778837943,8.115654758702204,0.04304235862964507,1.578274223024394,0.009998003949663953
463,-1.2784016927083333,1.6135954820785734,0.011465667874665311,8.386380198176095,0.05403036164620268,1.6582224104466465,0.013919776717640027
576,-1.299560546875,1.6734103987281221,0.011528788126171441,8.678652056306587,0.051879225151812335,1.7184615736277813,0.014466519683220606
718,-1.3211263020833333,1.7270841358734683,0.010680786793680647,8.927932922486482,0.06133856425096616,1.784293229155555,0.013594792836191224
894,-1.3450520833333333,1.8122477691989751,0.014749314427436096,9.316163253139658,0.07887514170366634,1.86440900892714,0.0173011452481485
1113,-1.37548828125,1.9023343157369608,0.012719909589247434,9.726266839772622,0.06681042708626211,1.9755751227987248,0.013679252001817969
1385,-1.3942057291666667,1.972060781264047,0.018358405686459925,10.065155935317899,0.09983646722970013,2.052626830920086,0.02059038549872553
1725,-1.4200846354166667,2.081630818281441,0.023216498837243964,10.482167658781158,0.09720960984732452,2.1680242887486814,0.023352138080503838
2147,-1.449462890625,2.2138305434804244,0.025628255816688494,10.992750695366576,0.1132223060658487,2.315419948245958,0.025598135686423187
2674,-1.4649251302083333,2.3407863724906464,0.02862180613552504,11.45912083754552,0.14311142160135662,2.4024237850718837,0.030874483919525495
3329,-1.4857584635416667,2.4726836658906786,0.03244256724181845,12.006162741139692,0.1536553961699389,2.529099927025159,0.03444391170811931
4145,-1.5079752604166667,2.623734701788919,0.04047149620587618,12.600998671943719,0.17667965296739804,2.682637287387268,0.04582902809989237
5161,-1.531494140625,2.7782312370126387,0.041607484523847,13.228389319921094,0.18401542630761572,2.863560360994073,0.05212296717532186
6425,-1.5528157552083333,2.963338432198293,0.04423290372473083,13.950607237112946,0.19862426513000866,3.0459814847621587,0.045920351899893116
8000,-1.5758463541666667,3.178433048000535,0.05335571749810708,14.767155806972882,0.23155440124122306,3.276240718423035,0.05360890334353618
