# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,E_per_spin_mean,L_C_mean,L_C_sem,L_S_mean,L_S_sem,L_E_mean,L_E_sem,excess_energy
0,-0.20146484375,0.6735583071124712,0.0027744224757728303,4.440849505059598,0.033551298334313945,0.5952993874328152,0.0031375415637811517,1.6802490234375
1,-0.45087890625,0.724928882696234,0.0030932296805478245,4.689491079540945,0.0388316536688197,0.6990551273262058,0.0035553977704128577,1.4308349609375
2,-0.547265625,0.7598836331938755,0.004081116510554656,4.867709566039644,0.0409013865238592,0.7495471976244767,0.0037973931982243784,1.3344482421875
3,-0.6048828125,0.7869204996400093,0.004706740920844494,5.003029385958195,0.04144222078062437,0.7834535838306392,0.004820329679499572,1.2768310546875
4,-0.65205078125,0.810150148075601,0.004783321172060632,5.120719614417826,0.03763990673997792,0.8135274003685529,0.005212017508157319,1.2296630859375
5,-0.69140625,0.8317202670200441,0.004389539182429792,5.236324131353372,0.035540963468739514,0.8403610078964363,0.004767719756120396,1.1903076171875
6,-0.7197265625,0.84647496084988,0.0037356500204987243,5.3084317926729625,0.027736573191411287,0.8608299369524243,0.004725747210569012,1.1619873046875
7,-0.746875,0.861408331737571,0.0031590519103857477,5.387436376692227,0.02721434582385227,0.8813701358655388,0.004286568178352279,1.1348388671875
9,-0.79033203125,0.8887756099160307,0.003082649536307385,5.528201194397893,0.031073645578608117,0.9164415277499064,0.004174668132749238,1.0913818359375
12,-0.82568359375,0.9132365540116656,0.0028435942650542343,5.657959287775469,0.032133854559580455,0.9471145102496037,0.00427544376691001,1.0560302734375
14,-0.85068359375,0.9301086485784908,0.002462818526814876,5.7435649198951575,0.030346857857922634,0.9700072527860775,0.0033392124449684152,1.0310302734375
18,-0.88232421875,0.9543226044997459,0.0038908119120791788,5.868937567672948,0.029813660710211274,1.0008159729938049,0.004779306934454841,0.9993896484375
22,-0.9150390625,0.980480305722501,0.003376062300157938,6.001591649378869,0.02630702560958589,1.0346059362314444,0.0038897010574145624,0.9666748046875
28,-0.941796875,1.008934294720836,0.005042762229709306,6.133442257663978,0.029203140031980344,1.064014456876602,0.0032780526933166463,0.9399169921875
35,-0.97001953125,1.0535904535529779,0.008439994471307322,6.269681742861588,0.03525544892474702,1.0970936902731627,0.005330321855382408,0.9116943359375
44,-1.00341796875,1.1118561443189474,0.007294869637003273,6.433534394795075,0.04061549300430537,1.138817389212841,0.005634817781666409,0.8782958984375
54,-1.033984375,1.155567080245967,0.008304996959713689,6.575685202220437,0.04731917937277456,1.1800051865264818,0.007072639878265504,0.8477294921875
68,-1.06494140625,1.2011672044421402,0.008792737546348342,6.7207295675519445,0.05441581952335044,1.2246470011821393,0.006537468511955371,0.8167724609375
85,-1.0822265625,1.2347131668022213,0.010568306240472069,6.868473239434353,0.06517817917873153,1.2511200279870969,0.006693653911522559,0.7994873046875
106,-1.1123046875,1.285791799891942,0.010716080740151766,7.040068713900086,0.060729622732816325,1.3000956612745331,0.007547326012906162,0.7694091796875
132,-1.13681640625,1.3211260162289755,0.011410178617837037,7.175729208834381,0.05583213672264747,1.3433164275598748,0.011298490256835119,0.7448974609375001
165,-1.16201171875,1.3659229276205023,0.013125202351396477,7.358217425161547,0.0662826761912405,1.3906198087579513,0.013372344504656589,0.7197021484374999
206,-1.18447265625,1.4088853726506438,0.012419140672545764,7.55751568270504,0.0664776635928285,1.435376794153906,0.013314590793484201,0.6972412109374999
258,-1.2064453125,1.454662033594356,0.01006603063883287,7.74089661169009,0.06328397663167744,1.4815173686251684,0.01013474470741643,0.6752685546874999
322,-1.23671875,1.5131133102984933,0.00972166321181243,7.995162806814603,0.053923747472377534,1.551245535754687,0.012109326487475537,0.6449951171874999
402,-1.2537109375,1.5595556245105187,0.011262068125811478,8.21553683579798,0.05989940823333802,1.5936519595280203,0.015258708136590337,0.6280029296875
502,-1.28330078125,1.63031750871045,0.015819020681862278,8.527206188490444,0.08228181345792922,1.6729206800925467,0.018396139491209596,0.5984130859375001
626,-1.31044921875,1.69363062859766,0.012631696913262987,8.851639879905985,0.07165044816752622,1.7511242123962034,0.010990094568605743,0.5712646484374999
782,-1.3333984375,1.7648366547496437,0.017555153223510908,9.194571167174548,0.08945878945623328,1.8259674728630997,0.02176355314525739,0.5483154296874999
977,-1.3560546875,1.8401123589669157,0.01675571704594258,9.521695943533562,0.08445491177085297,1.9051872861280974,0.024765333683619262,0.5256591796875001
1220,-1.386328125,1.9277971249639414,0.017876759413145014,9.957992330674141,0.07777055773240264,2.021968473171931,0.027375904340379384,0.4953857421875001
1523,-1.40810546875,2.0210330854598717,0.020184187051717532,10.357933062848131,0.08571350572967351,2.113479657076637,0.02182520359266491,0.4736083984374999
1902,-1.4275390625,2.129743948169068,0.029536882753473145,10.781132538048682,0.11285586677480951,2.2059721378837085,0.03230012739474482,0.45417480468750004
2375,-1.44775390625,2.240065445625457,0.027252411969871333,11.222987829812025,0.0941755372945978,2.3085474340020222,0.0329176272640373,0.4339599609375
2965,-1.4740234375,2.3901932607668206,0.02343565821630367,11.816420656998293,0.10626229559612621,2.454585604148992,0.02193532859093099,0.4076904296874999
3702,-1.49892578125,2.5372818628148406,0.024421266878514532,12.395757010979972,0.10524037732704693,2.615161754923405,0.02859333698948732,0.3827880859374999
4623,-1.52080078125,2.6928432206565542,0.025324942286394463,13.032115745883583,0.13719525524249992,2.7757015431162766,0.03969954508613939,0.36091308593750004
5772,-1.54638671875,2.8870059478314607,0.03331850965981229,13.80802702581631,0.19384597308232998,2.987065406710589,0.04030820000184426,0.3353271484375
7208,-1.56767578125,3.1051150219475283,0.03885746014318631,14.64144416281358,0.22932014563003347,3.191233794983268,0.05014625228569975,0.31403808593750004
9000,-1.5876953125,3.2907906847343265,0.03302857657250517,15.292472542972424,0.2498959005092031,3.40457300295862,0.03619535727321126,0.29401855468750004
