# units: J=k_B=1; time in sweeps (one sweep = N^2 attempted updates)
sweep,energy,energy_per_spin,magnetisation,broken_bond_density,L_C,L_S,characteristic_k,cluster_number_density,acceptance_rate
0,-796,-0.1943359375,0,0.451416015625,0.6712900723261012,4.460971850052009,1.4084790306637627,nan,nan
1,-1804,-0.4404296875,0,0.389892578125,0.7188133839427463,4.728486150631383,1.328794270940311,nan,0.189208984375
2,-2212,-0.5400390625,0,0.364990234375,0.7513539782245421,4.8433855319430155,1.2972713540437422,nan,0.13232421875
3,-2484,-0.6064453125,0,0.348388671875,0.784833528027212,5.012835718000884,1.2534193539630534,nan,0.11083984375
4,-2672,-0.65234375,0,0.3369140625,0.8030911318119641,5.097239767593218,1.2326642641231569,nan,0.091064453125
5,-2824,-0.689453125,0,0.32763671875,0.8258902101951426,5.221358045338199,1.2033622771358155,nan,0.08837890625
6,-2960,-0.72265625,0,0.3193359375,0.8433764850038346,5.2959094959418245,1.1864223344440263,nan,0.07861328125
7,-3108,-0.7587890625,0,0.310302734375,0.8697231471151401,5.437002054595541,1.1556341609010101,nan,0.076171875
9,-3280,-0.80078125,0,0.2998046875,0.8915860223697563,5.540201375246482,1.1341077483668272,nan,0.0618896484375
12,-3372,-0.8232421875,0,0.294189453125,0.9087981077436897,5.628399797004876,1.1163359984703203,nan,0.061360677083333336
14,-3504,-0.85546875,0,0.2861328125,0.9306850499503135,5.7426797564715,1.094120789183653,nan,0.0560302734375
18,-3544,-0.865234375,0,0.28369140625,0.9439175388121663,5.82917883958932,1.0778851498785467,nan,0.05194091796875
22,-3752,-0.916015625,0,0.27099609375,0.9826056200993443,6.03405630973011,1.0412871515712818,nan,0.04486083984375
28,-3840,-0.9375,0,0.265625,0.9969833688724575,6.141558303741908,1.02306043457267,nan,0.048095703125
35,-4004,-0.9775390625,0,0.255615234375,1.0644958368410915,6.318388615802547,0.994428435671887,nan,0.04363141741071429
44,-4156,-1.0146484375,0,0.246337890625,1.1138057993930284,6.480301255007973,0.9695822863673111,nan,0.036322699652777776
54,-4268,-1.0419921875,0,0.239501953125,1.1640890391670422,6.650168221288414,0.9448159953406821,nan,0.0345458984375
68,-4384,-1.0703125,0,0.232421875,1.2227470418055817,6.8755206034692,0.9138486624575399,nan,0.034511021205357144
85,-4416,-1.078125,0,0.23046875,1.2447773425604294,6.996335241259854,0.8980680728569764,nan,0.03228400735294118
106,-4628,-1.1298828125,0,0.217529296875,1.3262326911213898,7.228313902047594,0.8692463266433024,nan,0.03129650297619048
132,-4680,-1.142578125,0,0.21435546875,1.3484842246994706,7.319807284416412,0.8583812473528156,nan,0.02721228966346154
165,-4896,-1.1953125,0,0.201171875,1.4204919719955325,7.548616852568941,0.8323624618782044,nan,0.024806167140151516
206,-4944,-1.20703125,0,0.1982421875,1.4568214722144874,7.7230968167355964,0.813557754910467,nan,0.023413681402439025
258,-4936,-1.205078125,0,0.19873046875,1.4751170744267066,7.834700532849777,0.8019687901069211,nan,0.023808405949519232
322,-5080,-1.240234375,0,0.18994140625,1.538856114806761,8.116264757845938,0.7741474058132066,nan,0.02371978759765625
402,-5252,-1.2822265625,0,0.179443359375,1.626855190352205,8.551610829816703,0.7347370492202651,nan,0.0207977294921875
502,-5392,-1.31640625,0,0.1708984375,1.7294320634213203,9.035660962831718,0.6953763906177458,nan,0.02043701171875
626,-5448,-1.330078125,0,0.16748046875,1.7744927634985612,9.333560631438438,0.6731820315192248,nan,0.018121534778225805
782,-5664,-1.3828125,0,0.154296875,1.9110524197842436,9.905036934401306,0.6343424410016462,nan,0.018387232071314104
977,-5724,-1.3974609375,0,0.150634765625,1.9616181083886848,10.153085553958828,0.6188449091448546,nan,0.017868589743589743
1220,-5808,-1.41796875,0,0.1455078125,2.0306217367619768,10.427555056353068,0.6025559465496667,nan,0.01573853041409465
1523,-5872,-1.43359375,0,0.1416015625,2.1497280170762774,10.80741345019682,0.5813773421488894,nan,0.015229379383250825
1902,-6000,-1.46484375,0,0.1337890625,2.316164666018202,11.456503946562362,0.5484382789450283,nan,0.016253066251649077
2375,-6068,-1.4814453125,0,0.129638671875,2.4186117829464466,11.774376060291535,0.5336321241147799,nan,0.014642759811046511
2965,-6132,-1.4970703125,0,0.125732421875,2.560482883802064,12.355384393869075,0.5085382297209139,nan,0.014429124735169491
3702,-6252,-1.5263671875,0,0.118408203125,2.686690178249585,12.811694069863316,0.49042579950136284,nan,0.014364876611261873
4623,-6248,-1.525390625,0,0.11865234375,2.778050128855406,13.182640560333018,0.4766257016887716,nan,0.013336281046416938
5772,-6392,-1.560546875,0,0.10986328125,2.976675830168242,13.833071810560051,0.45421475383241017,nan,0.013900504514795475
7208,-6344,-1.548828125,0,0.11279296875,2.976164425392853,14.18098512136099,0.4430711444520979,nan,0.013709788202907382
9000,-6492,-1.5849609375,0,0.103759765625,3.201661806585653,14.910065418275305,0.4214056163347392,nan,0.01312119620186942
